 |BFS-number |Vertex number |Current queue
----------------------------------------------
 |         1 |            1 |[5, 10, 18, 20]
 |         2 |            5 |[10, 18, 20, 9, 11]
 |         3 |           10 |[18, 20, 9, 11, 4, 6, 8, 13, 17]
 |         4 |           18 |[20, 9, 11, 4, 6, 8, 13, 17, 2, 7, 14, 19]
 |         5 |           20 |[9, 11, 4, 6, 8, 13, 17, 2, 7, 14, 19, 12, 16]
 |         6 |            9 |[11, 4, 6, 8, 13, 17, 2, 7, 14, 19, 12, 16]
 |         7 |           11 |[4, 6, 8, 13, 17, 2, 7, 14, 19, 12, 16]
 |         8 |            4 |[6, 8, 13, 17, 2, 7, 14, 19, 12, 16]
 |         9 |            6 |[8, 13, 17, 2, 7, 14, 19, 12, 16, 3, 15]
 |        10 |            8 |[13, 17, 2, 7, 14, 19, 12, 16, 3, 15]
 |        11 |           13 |[17, 2, 7, 14, 19, 12, 16, 3, 15]
 |        12 |           17 |[2, 7, 14, 19, 12, 16, 3, 15]
 |        13 |            2 |[7, 14, 19, 12, 16, 3, 15]
 |        14 |            7 |[14, 19, 12, 16, 3, 15]
 |        15 |           14 |[19, 12, 16, 3, 15]
 |        16 |           19 |[12, 16, 3, 15]
 |        17 |           12 |[16, 3, 15]  
 |        18 |           16 |[3, 15]      
 |        19 |            3 |[15]         
 |        20 |           15 |[]           
 |DFS-number |Vertex number |Current stack
----------------------------------------------
 |         1 |            1 |[5, 10, 18, 20]
 |         2 |           20 |[5, 10, 18, 12, 16]
 |         3 |           16 |[5, 10, 18, 12, 6, 19]
 |         4 |           19 |[5, 10, 18, 12, 6, 3, 7, 8, 14, 15]
 |         5 |           15 |[5, 10, 18, 12, 6, 3, 7, 8, 14]
 |         6 |           14 |[5, 10, 18, 12, 6, 3, 7, 8, 9, 11]
 |         7 |           11 |[5, 10, 18, 12, 6, 3, 7, 8, 9, 2, 13]
 |         8 |           13 |[5, 10, 18, 12, 6, 3, 7, 8, 9, 2]
 |         9 |            2 |[5, 10, 18, 12, 6, 3, 7, 8, 9, 4]
 |        10 |            4 |[5, 10, 18, 12, 6, 3, 7, 8, 9, 17]
 |        11 |           17 |[5, 10, 18, 12, 6, 3, 7, 8, 9]
 |        12 |            9 |[5, 10, 18, 12, 6, 3, 7, 8]
 |        13 |            8 |[5, 10, 18, 12, 6, 3, 7]
 |        14 |            7 |[5, 10, 18, 12, 6, 3]
 |        15 |            3 |[5, 10, 18, 12, 6]
 |        16 |            6 |[5, 10, 18, 12]
 |        17 |           12 |[5, 10, 18]  
 |        18 |           18 |[5, 10]      
 |        19 |           10 |[5]          
 |        20 |            5 |[]           
